"id","usuario","deck","skill","ndmax","zerotg","zephra","bryan","xenoblur"
1869,"5862","Tech Genus","Control de Vuelo","2022-11-14",False,False,True,False
1870,"6218","Galaxy-Eyes","Galaxia XYZ","2022-11-14",False,False,True,False
1871,"2097","Fossil","Agujero de Gólem","2022-11-14",False,False,True,False
1872,"3895","Tech Genus","Control de Vuelo","2022-11-14",False,False,True,False
1873,"7217","Resonators","Resonancia Demoníaca","2022-11-14",False,False,True,False
1874,"6715","D/D/D","El Mando del Rey de la Perdición","2022-11-14",False,False,True,False
1875,"7989","Salamangreat","Vinculaciones","2022-11-14",False,False,True,False
1876,"4691","D/D/D","El Mando del Rey de la Perdición","2022-11-14",False,False,True,False
1877,"1475","Mermail Atlantean","Territorio de Tiburones","2022-11-14",False,False,True,False
1878,"8099","Railway","Tren Imparable","2022-11-14",False,False,True,False
1879,"1126","Galaxy-Eyes","Galaxia XYZ","2022-11-14",False,False,True,False
1880,"1755","Tech Genus","Control de Vuelo","2022-11-14",False,False,True,False
1881,"8712","Odd-Eyes","Xiangke y Xiangsheng","2022-11-14",False,False,True,False
1882,"0074","Infernoid","Aumento de LP alfa","2022-11-14",False,False,True,False
1883,"9682","Salamangreat","Alzarse desde el Valle de las Llamas","2022-11-15",False,False,True,True
1884,"5069","Salamangreat","Alzarse desde el Valle de las Llamas","2022-11-15",False,False,True,False
1885,"2047","Dark Magician","Robar sentido Luz","2022-11-15",False,False,True,False
1886,"8797","Wounded Heros","Héroe Herido","2022-11-15",False,False,True,False
1887,"8371","Block Dragon","Vinculaciones","2022-11-15",False,False,True,False
1888,"5124","Mayosenju","Neo Nuevo Sylvio","2022-11-15",False,False,True,False
1889,"1307","Burning Abyss","Mente de la Plana","2022-11-15",False,False,True,False
1890,"3383","Salamangreat","Alzarse desde el Valle de las Llamas","2022-11-15",False,False,True,False
1891,"8459","Salamangreat","Alzarse desde el Valle de las Llamas","2022-11-15",False,False,True,True
1892,"7784","Wounded Heros","Héroe Herido","2022-11-15",False,False,True,False
1893,"5740","Salamangreat","Guerrero de la Esperanza Número 39","2022-11-15",False,False,True,False
1894,"1948","Dark Magician","As en la Manga","2022-11-16",False,False,True,False
1895,"2077","Resonators","Resonancia Demoníaca","2022-11-16",False,False,True,False
1896,"4446","Mekk-Knights","Mecanismos Antigüos","2022-11-16",False,False,True,False
1897,"2432","Phantom Knights","La Orden de los Caballeros Fantasma","2022-11-16",False,False,True,False
1898,"3417","Magnet Warrios","Robo del Destino","2022-11-16",False,False,True,False
1899,"4158","Gandora","Luchar con Decisión","2022-11-16",False,False,True,False
1900,"3267","Yosenjus","Robo del Destino","2022-11-16",False,False,True,False
1901,"8496","Wounded Heros","Héroe Herido","2022-11-16",False,False,True,False
1902,"6504","Meklord","Refinamiento Meklord","2022-11-16",False,False,True,False
1903,"1546","Rose Dragon Mekk-Knights","Conjuro de Rosas","2022-11-14",False,False,False,True
1904,"3209","Elemental Heros","Alianza de Héroes","2022-11-14",False,False,False,True
1905,"1705","Mekk-Knights","Mecanismos Antigüos","2022-11-14",False,False,False,True
1906,"4556","Odd-Eyes","Xiangke y Xiangsheng","2022-11-14",False,False,False,True
1907,"0840","Salamangreat","Alzarse desde el Valle de las Llamas","2022-11-14",False,False,False,True
1908,"9861","Infernoid","Con Valor","2022-11-15",False,False,False,True
1909,"5679","Blackwings","Viento Negro hasta la Cima","2022-11-15",False,False,False,True
1910,"6149","D/D/D","El Mando del Rey de la Perdición","2022-11-15",False,False,False,True
1911,"4893","Salamangreat","Alzarse desde el Valle de las Llamas","2022-11-16",False,False,False,True
1912,"3110","Abyss Actor","Tumbas Selladas","2022-11-16",False,False,False,True
1970,"0587","Gouki","El Evento Principal Gouki","2022-11-18",False,False,True,False
1971,"6438","Yosenjus","Con Valor","2022-11-18",False,False,True,False
1955,"3215","Elemental Heros","Alianza de Héroes","2022-11-18",True,False,False,True
1991,"0344","D/D/D","El Mando del Rey de la Perdición","2022-11-20",False,True,False,False
1992,"1209","Dark Magician","Robo del Destino","2022-11-19",False,True,False,False
1994,"8650","Galaxy-Eyes","Galaxia XYZ","2022-11-19",False,True,False,False
1995,"1082","Galaxy-Eyes","Galaxia XYZ","2022-11-19",False,True,False,False
1996,"6107","Salamangreat","Vinculaciones","2022-11-19",False,True,False,False
1997,"2194","Dark Magician","Robo del Destino","2022-11-19",False,True,False,False
1998,"6617","Salamangreat","Alzarse desde el Valle de las Llamas","2022-11-19",False,True,False,False
1999,"6757","Block Dragon","Vinculaciones","2022-11-19",False,True,False,False
2000,"2166","Fortune Lady","Paso del Tiempo","2022-11-19",False,True,False,False
2001,"3721","Dark Magician","Robo del Destino","2022-11-19",False,True,False,False
2002,"5924","Fish Shark","El alzamiento de Shark","2022-11-19",False,True,False,False
2003,"2284","Fish Shark","El alzamiento de Shark","2022-11-19",False,True,False,False
1993,"1746","Stromberg","Robar sentido Viento","2022-11-19",False,True,True,False
2004,"9726","Deskbots","Vinculaciones","2022-11-19",False,False,True,False
2005,"4379","Dark Magician","Robo del Destino","2022-11-19",False,False,True,False
2006,"8170","Salamangreat","Vinculaciones","2022-11-19",False,False,True,False
2007,"2542","Wounded Heros","Héroe Herido","2022-11-19",False,False,True,False
1972,"8090","Galaxy-Eyes","Fotónico de la Galaxia","2022-11-18",False,True,False,True
